Country/Region,Material Class,Material Type,Process,Source,Process Description,Detailed Explanation,Assumed Product Weight (kg),Rationale for Assumed Product Weight,Source / Reference,EF (kgCO2) per 1 kg,Calculation Summary,Calculated Energy per kg (kWh/kg),Notes,Source,,
Netherlands,Leather,Recycled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,1.100,,,,,,
Poland,Leather,Recycled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,2.388,,,,,,
Spain,Leather,Recycled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,0.502,,,,,,
Taiwan,Leather,Recycled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,1.917,,,,,,
United States ,Leather,Recycled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,1.200,,,,,,
India,Leather,Recycled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,3.576,,,,,,
United Kingdom,Leather,Recycled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,0.698,,,,,,
Rest-of-World,Leather,Recycled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,2.561,,,,,,
,Leather,Oiled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,Whole process of cotton textile processing (kWh/kg),0.8,The source provided kWh/kg of shoe pair manufacturing related energy,Journal Paper - Fabric - Electric energy consumption in the cotton textile processing stages 2010.pdf,Keep out of backend updates,1.99/0.8,2.4875,Shoe pair weight is taken from anoither source to derieve per kg electricity consumption of the leather shos manufacturing,"Master’s thesis in Industrial Ecology


",,
China,Leather,Oiled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,2.078,,,,,,
Vietnam,Leather,Oiled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,1.565,,,,,,
Global,Leather,Oiled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,1.684,,,,,,
Czech Republic,Leather,Oiled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,1.646,,,,,,
France,Leather,Oiled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,0.192,,,,,,
Netherlands,Leather,Oiled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,1.100,,,,,,
Poland,Leather,Oiled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,2.388,,,,,,
Spain,Leather,Oiled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,0.502,,,,,,
Taiwan,Leather,Oiled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,1.917,,,,,,
United States ,Leather,Oiled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,1.200,,,,,,
India,Leather,Oiled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,3.576,,,,,,
United Kingdom,Leather,Oiled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,0.698,,,,,,
Rest-of-World,Leather,Oiled Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,2.561,,,,,,
,Laminate,High-Pressure Laminate (HPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),Electricity consumption associated with High Pressure Laminates – Compact Panels istallation is considered,1,The source provided kWh/kg of 1kg,EPD High Pressure Laminates – Compact Panels (Laminates) 2025/04/10 - 2030/04/09.pdf,Keep out of backend updates,0.00129*0.277777778,0.0003583333336,MJ to kWh conversion is done,"EPD (The International EPD)
",,
China,Laminate,High-Pressure Laminate (HPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000299,,,,,,
Vietnam,Laminate,High-Pressure Laminate (HPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000225,,,,,,
Global,Laminate,High-Pressure Laminate (HPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000243,,,,,,
Czech Republic,Laminate,High-Pressure Laminate (HPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000237,,,,,,
France,Laminate,High-Pressure Laminate (HPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000028,,,,,,
Netherlands,Laminate,High-Pressure Laminate (HPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000158,,,,,,
Poland,Laminate,High-Pressure Laminate (HPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000344,,,,,,
Spain,Laminate,High-Pressure Laminate (HPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000072,,,,,,
Taiwan,Laminate,High-Pressure Laminate (HPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000276,,,,,,
United States ,Laminate,High-Pressure Laminate (HPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000173,,,,,,
India,Laminate,High-Pressure Laminate (HPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000515,,,,,,
United Kingdom,Laminate,High-Pressure Laminate (HPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000101,,,,,,
Rest-of-World,Laminate,High-Pressure Laminate (HPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000369,,,,,,
,Laminate,Low-Pressure Laminate (LPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),Electricity consumption associated with High Pressure Laminates – Compact Panels istallation is considered,1,The source provided kWh/kg of 1kg,EPD High Pressure Laminates – Compact Panels (Laminates) 2025/04/10 - 2030/04/09.pdf,Keep out of backend updates,0.00129*0.277777778,0.0003583333336,MJ to kWh conversion is done,"EPD (The International EPD)
",,
China,Laminate,Low-Pressure Laminate (LPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000299,,,,,,
Vietnam,Laminate,Low-Pressure Laminate (LPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000225,,,,,,
Global,Laminate,Low-Pressure Laminate (LPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000243,,,,,,
Czech Republic,Laminate,Low-Pressure Laminate (LPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000237,,,,,,
France,Laminate,Low-Pressure Laminate (LPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000028,,,,,,
Netherlands,Laminate,Low-Pressure Laminate (LPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000158,,,,,,
Poland,Laminate,Low-Pressure Laminate (LPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000344,,,,,,
Spain,Laminate,Low-Pressure Laminate (LPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000072,,,,,,
Taiwan,Laminate,Low-Pressure Laminate (LPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000276,,,,,,
United States ,Laminate,Low-Pressure Laminate (LPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000173,,,,,,
India,Laminate,Low-Pressure Laminate (LPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000515,,,,,,
United Kingdom,Laminate,Low-Pressure Laminate (LPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000101,,,,,,
Rest-of-World,Laminate,Low-Pressure Laminate (LPL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000369,,,,,,
,Laminate,Thermally Fused Laminate (TFL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),Electricity consumption associated with High Pressure Laminates – Compact Panels istallation is considered,1,The source provided kWh/kg of 1kg,EPD High Pressure Laminates – Compact Panels (Laminates) 2025/04/10 - 2030/04/09.pdf,Keep out of backend updates,0.00129*0.277777778,0.0003583333336,MJ to kWh conversion is done,"EPD (The International EPD)
",,
China,Laminate,Thermally Fused Laminate (TFL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000299,,,,,,
Vietnam,Laminate,Thermally Fused Laminate (TFL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000225,,,,,,
Global,Laminate,Thermally Fused Laminate (TFL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000243,,,,,,
Czech Republic,Laminate,Thermally Fused Laminate (TFL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000237,,,,,,
France,Laminate,Thermally Fused Laminate (TFL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000028,,,,,,
Netherlands,Laminate,Thermally Fused Laminate (TFL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000158,,,,,,
Poland,Laminate,Thermally Fused Laminate (TFL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000344,,,,,,
Spain,Laminate,Thermally Fused Laminate (TFL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000072,,,,,,
Taiwan,Laminate,Thermally Fused Laminate (TFL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000276,,,,,,
United States ,Laminate,Thermally Fused Laminate (TFL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000173,,,,,,
India,Laminate,Thermally Fused Laminate (TFL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000515,,,,,,
United Kingdom,Laminate,Thermally Fused Laminate (TFL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000101,,,,,,
Rest-of-World,Laminate,Thermally Fused Laminate (TFL),Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000369,,,,,,
,Laminate,Post-Formed Laminate,Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),Electricity consumption associated with High Pressure Laminates – Compact Panels istallation is considered,1,The source provided kWh/kg of 1kg,EPD High Pressure Laminates – Compact Panels (Laminates) 2025/04/10 - 2030/04/09.pdf,Keep out of backend updates,0.00129*0.277777778,0.0003583333336,MJ to kWh conversion is done,"EPD (The International EPD)
",,
China,Laminate,Post-Formed Laminate,Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000299,,,,,,
Vietnam,Laminate,Post-Formed Laminate,Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000225,,,,,,
Global,Laminate,Post-Formed Laminate,Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000243,,,,,,
Czech Republic,Laminate,Post-Formed Laminate,Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000237,,,,,,
France,Laminate,Post-Formed Laminate,Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000028,,,,,,
Netherlands,Laminate,Post-Formed Laminate,Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000158,,,,,,
Poland,Laminate,Post-Formed Laminate,Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000344,,,,,,
Spain,Laminate,Post-Formed Laminate,Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000072,,,,,,
Taiwan,Laminate,Post-Formed Laminate,Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000276,,,,,,
United States ,Laminate,Post-Formed Laminate,Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000173,,,,,,
India,Laminate,Post-Formed Laminate,Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000515,,,,,,
United Kingdom,Laminate,Post-Formed Laminate,Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000101,,,,,,
Rest-of-World,Laminate,Post-Formed Laminate,Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),,,,,0.000369,,,,,,
,Laminate,Textured Laminate,Whole process,EPD,Whole process of High Pressure Laminates – Compact Panels installation (kWh/kg),Electricity consumption associated with High Pressure Laminates – Compact Panels istallation is considered,1,The source provided kWh/kg of 1kg,EPD High Pressure Laminates – Compact Panels (Laminates) 2025/04/10 - 2030/04/09.pdf,Keep out of backend updates,0.00129*0.277777778,0.0003583333336,MJ to kWh conversion is done,"EPD (The International EPD)
",,
